sample,EVENT,ETHNICITY,GENDER,AGE,WFREQ,BBTYPE,LOCATION,COUNTRY012,ZIP012,COUNTRY1319,ZIP1319,DOG,CAT,IMPSURFACE013,NPP013,MMAXTEMP013,PFC013,IMPSURFACE1319,NPP1319,MMAXTEMP1319,PFC1319
940,BellyButtonsScienceOnline,Caucasian,F,24.0,2.0,I,Beaufort/NC,usa,22306,usa,22306,no,no,8852.0,37.17222214,54.5,,1,,33.99000168,25.5
941,,Caucasian/Midleastern,F,34.0,1.0,I,Chicago/IL,,,,,,,,,,,,,,
943,BellyButtonsScienceOnline,Caucasian,F,49.0,1.0,I,Omaha/NE,,,,,,,,,,,,,,
944,BellyButtonsScienceOnline,European,M,44.0,1.0,I,NewHaven/CT,usa,7079,usa,8822,no,yes,,35.81666565,16.0,,0,6567.0,32.40333176,28.5
945,BellyButtonsScienceOnline,Caucasian,F,48.0,1.0,I,Philidelphia/PA,usa,84404,usa,96025,no,no,,37.78333282,4.0,,0,5613.0,33.63444519,24.0
946,BellyButtonsScienceOnline,Caucasian,F,42.0,3.0,I,Deerfield/MA,usa,12538,usa,12538,no,yes,,34.76111221,15.5,,0,6273.0,29.40333366,67.5
947,BellyButtonsScienceOnline,Caucasian,M,49.0,6.0,I,ChapelHill/NC,usa,48823,usa,48823,no,yes,7491.0,30.35666656,31.0,,0,5357.0,30.88111115,16.5
948,BellyButtonsScienceOnline,Caucasian,M,20.0,,I,ChapelHill/NC,usa,27613,usa,27613,no,no,,53.88777924,0.0,,31,,31.72999954,22.5
949,BellyButtonsScienceOnline,Caucasian,F,51.0,3.0,I,Durham/NC,usa,7009,usa,7009,no,no,,35.5344429,36.0,,5,,35.5344429,36.0
950,BellyButtonsScienceOnline,Caucasian,M,51.0,5.0,I,NewYork/NY,usa,1730,usa,1730,yes,no,6273.0,29.40333366,67.5,,0,,30.48111153,33.0
952,BellyButtonsScienceOnline,Caucasian,F,51.0,7.0,I,Seattle/WA,,,,,,,,,,,,,,
953,BellyButtonsScienceOnline,Caucasian,F,38.0,2.0,I,Chicago/IL,,,,,,,,,,,,,,
